iter	Passed	Remaining
0	1	133
1	2	111
2	3	103
3	4	98
4	5	95
5	6	95
6	7	98
7	8	97
8	9	96
9	10	94
10	22	181
11	24	177
12	25	168
13	26	160
14	27	153
15	28	148
16	29	142
17	30	138
18	31	134
19	32	129
20	33	124
21	34	120
22	34	116
23	35	113
24	36	110
25	38	108
26	39	105
27	39	102
28	40	99
29	41	97
30	42	95
31	43	93
32	44	90
33	45	88
34	46	85
35	46	83
36	47	81
37	48	79
38	49	77
39	50	75
40	51	74
41	51	71
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	59	59
50	60	58
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	104	0
